cartodb_id,the_geom,cartodb_georef_status,geonameid,subcountry,country,name
679,0101000020E610000078EE3D5C7290564032ACE28DCCC33840,true,1185164,Dhaka,Bangladesh,Muktāgācha
141,0101000020E61000007429AE2AFB464DC06EA301BC05823BC0,true,3428708,Corrientes,Argentina,San Luis del Palmar
201,0101000020E6100000E0BE0E9C332A4EC0695721E5279D40C0,true,3832778,Santa Fe,Argentina,Villa Constitución
149,0101000020E6100000CEAACFD556204DC0693524EEB15C41C0,true,3429652,Buenos Aires,Argentina,Quilmes
131,0101000020E61000005396218E75AD4DC05B25581CCE7C3CC0,true,3427388,Santa Fe,Argentina,Villa Ocampo
224,0101000020E610000034BF9A03045350C060C8EA56CF3138C0,true,3836564,Jujuy,Argentina,San Salvador de Jujuy
838,0101000020E610000034BA83D8992217404D2D5BEB8B8C4940,true,2791964,Flanders,Belgium,Maaseik
968,0101000020E6100000069E7B0F97BC13C04BB0389CF9E52540,true,2577164,High-Basins,Burkina Faso,Orodara
77,0101000020E6100000E960FD9FC3A43340C7681D554DE44440,true,3184935,Lezhë,Albania,Lezhë
685,0101000020E6100000AD69DE718A5C5640DF37BEF6CCEA3940,true,1185181,Rangpur Division,Bangladesh,Lalmanirhat
575,0101000020E6100000CDCCCCCCCC7C51C00DA661F888082940,true,3577284,N/A,Aruba,Angochi
282,0101000020E6100000B77A4E7ADFE04FC023F3C81F0CD441C0,true,3855075,La Pampa,Argentina,General Pico
798,0101000020E6100000A12DE7525C551240FB05BB61DB9E4940,true,2787048,Flanders,Belgium,Schilde
655,0101000020E6100000EBAD81AD121E5640392861A6ED073A40,true,1185092,Rangpur Division,Bangladesh,Thākurgaon
592,0101000020E61000002DCF83BBB376474074D2FBC6D7FE4340,true,148619,Ağdam,Azerbaijan,Ağdam
254,0101000020E6100000A5315A47552551C02D6002B7EEAE3FC0,true,3840860,San Juan,Argentina,Pocito
833,0101000020E61000007EA99F3715E911407A19C5724B834940,true,2791537,Flanders,Belgium,Mechelen
86,0101000020E6100000320395F1EF334740742497FF909A4340,true,174875,Syunik Province,Armenia,Kapan
67,0101000020E6100000CEDF8442046C34408BE07F2BD9094540,true,782661,Kukës,Albania,Kukës
409,0101000020E61000006A1327F73B176240350708E6E8C942C0,true,2147914,Victoria,Australia,Sunbury
544,0101000020E61000000000000000E06240EACF7EA488E840C0,true,7302259,New South Wales,Australia,City of Parramatta
387,0101000020E610000094F6065F98005D409F76F86BB21240C0,true,2077579,Western Australia,Australia,Armadale
427,0101000020E6100000611A868F88306240B0C91AF5101143C0,true,2153951,Victoria,Australia,Pakenham South
618,0101000020E6100000B1A71DFE9A04494073637AC212374440,true,586340,Baki,Azerbaijan,Yeni Suraxanı
672,0101000020E61000002DB29DEFA7FE5640DD41EC4CA14B3640,true,1185148,Chittagong,Bangladesh,Patiya
415,0101000020E61000006CB2463D44246240CDCCCCCCCC0C43C0,true,2149975,Victoria,Australia,Seaford
645,0101000020E6100000F5673F524416324019C5724BAB5D4640,true,3201984,Republika Srpska,Bosnia and Herzegovina,Doboj
776,0101000020E6100000CB10C7BAB8CD1040EA78CC4065584940,true,2785169,Wallonia,Belgium,Tubize
549,0101000020E6100000E2CCAFE60023624077DB85E63AE542C0,true,7932629,Victoria,Australia,Balwyn North
971,0101000020E61000008FC2F5285CDF36401F85EB51B8FE4540,true,725905,Vidin,Bulgaria,Vidin
388,0101000020E6100000EE42739D46BC6040349D9D0C8EB237C0,true,2077895,Northern Territory,Australia,Alice Springs
895,0101000020E610000045BB0A293F091240DCBA9BA73A8C4940,true,2799090,Flanders,Belgium,Duffel
378,0101000020E61000003541D47D00F25C400CEA5BE6741D40C0,true,2068079,Western Australia,Australia,Kwinana
482,0101000020E6100000F5BEF1B567E062409CA73AE4660841C0,true,2167312,New South Wales,Australia,Engadine
135,0101000020E6100000C30DF8FC304A4DC0B48EAA26883641C0,true,3427761,Buenos Aires,Argentina,Tigre
167,0101000020E61000008386FE092EFA4CC01973D712F27541C0,true,3432043,Buenos Aires,Argentina,La Plata
796,0101000020E6100000C58F31772D01164051A5660FB44A4940,true,2786824,Wallonia,Belgium,Seraing
646,0101000020E6100000DE54A4C2D8E22F40DD989EB0C47B4640,true,3202822,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Cazin
168,0101000020E6100000ED2AA4FCA4D24DC0F46C567DAEBE3EC0,true,3432079,Entre Rios,Argentina,La Paz
120,0101000020E6100000FD304278B4812E405587DC0C37D029C0,true,3347853,Huambo,Angola,Longonjo
628,0101000020E61000006002B7EEE6FD4840B4AB90F293364440,true,587261,Baki,Azerbaijan,Amirdzhan
643,0101000020E6100000567DAEB6624F32403C66A032FE594640,true,3199779,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Gračanica
